pai,jiang,p
0,0,1.0000
0,1,0.0561
2,0,0.0332
2,1,1.0000
4100,0,0.0000
4100,1,0.0000
1031,0,0.0051
1031,1,0.0147
3,0,1.0000
4101,0,0.0000
4101,1,0.0000
4,0,0.0000
1,0,0.0142
4,1,0.0000
1032,0,0.0078
3,1,0.0499
4103,0,0.0000
1030,0,0.0170
4102,0,0.0000
1030,1,0.0441
4103,1,0.0000
1032,1,0.0422
1,1,0.0433
1033,0,0.0225
1033,1,0.0451
1034,0,0.0000
1034,1,0.0000
11,0,0.0036
11,1,0.0118
12,0,0.0062
12,1,0.0353
10,0,0.0142
10,1,0.0433
14,0,0.0000
14,1,0.0000
4110,0,0.0000
4110,1,0.0000
4111,0,0.0000
4111,1,0.0000
1040,0,0.0000
1040,1,0.0000
13,0,0.0170
13,1,0.0441
1041,0,0.0000
1041,1,0.0000
1024,0,0.0000
1024,1,0.0000
4113,0,0.0000
4113,1,0.0000
1042,0,0.0000
1042,1,0.0000
4114,0,0.0000
4114,1,0.0000
1043,0,0.0000
1043,1,0.0000
20,0,0.0332
1044,0,0.0000
20,1,1.0000
1044,1,0.0000
21,0,0.0062
21,1,0.0353
22,0,0.0152
22,1,0.0763
23,0,0.0350
23,1,1.0000
24,0,0.0000
24,1,0.0000
4120,0,0.0000
4102,1,0.0000
4120,1,0.0000
4121,0,0.0000
4122,0,0.0000
4122,1,0.0000
4112,0,0.0000
4104,0,0.0000
4104,1,0.0000
3100,0,0.0170
3100,1,0.0441
4112,1,0.0000
3101,0,0.0051
3101,1,0.0147
3102,0,0.0078
3102,1,0.0422
31,0,0.0170
31,1,0.0441
3103,0,0.0225
3103,1,0.0451
32,0,0.0350
32,1,1.0000
3104,0,0.0000
3104,1,0.0000
33,0,1.0000
33,1,0.0425
34,0,0.0000
34,1,0.0000
4130,0,0.0000
4130,1,0.0000
4131,0,0.0000
4131,1,0.0000
4132,0,0.0000
4132,1,0.0000
4133,0,0.0000
4133,1,0.0000
3110,0,0.0051
3110,1,0.0147
4134,0,0.0000
4134,1,0.0000
3111,0,0.0000
3111,1,0.0147
40,0,0.0000
40,1,0.0000
3112,0,0.0062
3112,1,0.0186
41,0,0.0000
41,1,0.0000
3113,0,0.0084
3113,1,0.0196
42,0,0.0000
42,1,0.0000
3114,0,0.0000
3114,1,0.0000
43,0,0.0000
43,1,0.0000
44,0,0.0000
44,1,0.0000
4140,0,0.0000
4140,1,0.0000
4141,0,0.0000
4141,1,0.0000
4142,0,0.0000
4142,1,0.0000
4143,0,0.0000
4143,1,0.0000
3120,0,0.0078
3120,1,0.0422
4144,0,0.0000
4144,1,0.0000
3121,0,0.0062
3121,1,0.0186
3122,0,0.0074
3122,1,0.0252
3123,0,0.0107
3123,1,0.0294
2100,0,0.0062
2100,1,0.0353
3124,0,0.0000
3124,1,0.0000
2102,0,0.0045
2102,1,0.0196
2103,0,0.0078
2103,1,0.0422
2104,0,0.0000
2104,1,0.0000
3130,0,0.0225
3130,1,0.0451
3131,0,0.0084
3131,1,0.0196
3132,0,0.0107
3132,1,0.0294
3133,0,0.0168
3133,1,0.0294
2110,0,0.0032
2110,1,0.0122
3134,0,0.0000
3134,1,0.0000
2111,0,0.0000
2111,1,0.0000
2112,0,0.0000
2112,1,0.0168
2113,0,0.0062
2113,1,0.0186
2114,0,0.0000
2114,1,0.0000
3140,0,0.0000
3140,1,0.0000
3141,0,0.0000
3141,1,0.0000
3142,0,0.0000
3142,1,0.0000
3143,0,0.0000
3143,1,0.0000
2120,0,0.0045
2120,1,0.0196
3144,0,0.0000
3144,1,0.0000
2121,0,0.0000
2121,1,0.0168
2122,0,0.0053
2122,1,0.0214
2123,0,0.0074
2123,1,0.0252
1100,0,0.0036
1100,1,0.0118
2124,0,0.0000
2124,1,0.0000
1101,0,0.0000
1101,1,0.0082
1102,0,0.0032
1102,1,0.0122
1103,0,0.0051
1103,1,0.0147
1104,0,0.0000
1104,1,0.0000
2130,0,0.0078
2130,1,0.0422
2131,0,0.0062
2131,1,0.0186
2132,0,0.0074
2132,1,0.0252
2133,0,0.0107
2133,1,0.0294
1110,0,0.0000
1110,1,0.0082
2134,0,0.0000
2134,1,0.0000
1111,0,0.0000
1111,1,0.0000
1112,0,0.0000
1112,1,0.0000
1113,0,0.0000
1113,1,0.0147
1114,0,0.0000
1114,1,0.0000
2140,0,0.0000
2140,1,0.0000
2141,0,0.0000
2141,1,0.0000
2142,0,0.0000
2142,1,0.0000
2143,0,0.0000
2143,1,0.0000
1120,0,0.0032
1120,1,0.0122
2144,0,0.0000
2144,1,0.0000
1121,0,0.0000
1121,1,0.0000
1122,0,0.0000
1122,1,0.0168
1123,0,0.0062
1123,1,0.0186
100,0,0.0142
100,1,0.0433
1124,0,0.0000
1124,1,0.0000
101,0,0.0036
101,1,0.0118
102,0,0.0062
102,1,0.0353
103,0,0.0170
103,1,0.0441
104,0,0.0000
104,1,0.0000
4200,0,0.0000
4200,1,0.0000
4201,0,0.0000
4201,1,0.0000
1130,0,0.0051
1130,1,0.0147
4202,0,0.0000
4202,1,0.0000
1131,0,0.0000
1131,1,0.0147
4203,0,0.0000
4203,1,0.0000
1132,0,0.0062
1132,1,0.0186
4204,0,0.0000
4204,1,0.0000
1133,0,0.0084
1133,1,0.0196
110,0,0.0036
110,1,0.0118
1134,0,0.0000
