pai,jiang,p
4,0,0
4,1,0
3,0,1
12,0,0.0028
11,0,0.0019
2,0,0.0105
11,1,0.005
1,0,0.0058
1,1,0.0138
10,0,0.0058
0,0,1
14,0,0
10,1,0.0138
14,1,0
13,0,0.0086
2,1,1
12,1,0.0153
21,0,0.0028
20,0,0.0105
20,1,1
3,1,0.0157
24,0,0
23,0,0.0125
22,0,0.0073
23,1,1
21,1,0.0153
30,0,1
30,1,0.0157
13,1,0.0147
33,0,1
33,1,0.0063
32,0,0.0125
32,1,1
41,0,0
41,1,0
0,1,0.0167
42,0,0
42,1,0
40,0,0
40,1,0
300,0,1
300,1,0.0157
34,0,0
34,1,0
31,0,0.0086
301,0,0.0086
301,1,0.0147
31,1,0.0147
303,0,1
303,1,0.0063
22,1,0.0252
24,1,0
310,0,0.0086
310,1,0.0147
312,0,0.0042
312,1,0.0101
304,0,0
302,0,0.0125
44,0,0
43,0,0
43,1,0
320,0,0.0125
320,1,1
321,0,0.0042
321,1,0.0101
322,0,0.005
44,1,0
322,1,0.0167
302,1,1
304,1,0
314,0,0
314,1,0
313,0,0.0063
313,1,0.0084
311,0,0.0036
311,1,0.0072
330,0,1
330,1,0.0063
324,0,0
324,1,0
332,0,0.0084
332,1,1
323,0,0.0084
341,0,0
340,0,0
343,0,0
340,1,0
341,1,0
334,0,0
334,1,0
323,1,1
100,0,0.0058
100,1,0.0138
102,0,0.0028
102,1,0.0153
103,0,0.0086
103,1,0.0147
104,0,0
104,1,0
110,0,0.0019
110,1,0.005
333,0,1
111,0,0
331,0,0.0063
111,1,0.0063
333,1,0
112,0,0.0028
112,1,0.0076
342,0,0
342,1,0
101,0,0.0019
101,1,0.005
120,0,0.0028
120,1,0.0153
121,0,0.0028
121,1,0.0076
122,0,0.0031
122,1,0.0094
123,0,0.0042
123,1,0.0101
344,0,0
344,1,0
130,0,0.0086
130,1,0.0147
132,0,0.0042
132,1,0.0101
343,1,0
133,0,0.0063
133,1,0.0084
131,0,0.0036
131,1,0.0072
124,0,0
124,1,0
143,0,0
143,1,0
400,0,0
400,1,0
144,0,0
144,1,0
401,0,0
401,1,0
402,0,0
402,1,0
403,0,0
403,1,0
404,0,0
404,1,0
410,0,0
410,1,0
411,0,0
411,1,0
412,0,0
412,1,0
413,0,0
413,1,0
414,0,0
414,1,0
420,0,0
420,1,0
421,0,0
421,1,0
422,0,0
422,1,0
423,0,0
423,1,0
424,0,0
424,1,0
430,0,0
430,1,0
431,0,0
431,1,0
432,0,0
432,1,0
433,0,0
433,1,0
434,0,0
434,1,0
114,0,0
440,0,0
142,0,0
142,1,0
441,0,0
441,1,0
113,0,0.0036
331,1,0.0084
443,0,0
443,1,0
444,0,0
444,1,0
200,0,0.0105
200,1,1
201,0,0.0028
201,1,0.0153
202,0,0.0073
202,1,0.0252
203,0,0.0125
203,1,1
204,0,0
204,1,0
210,0,0.0028
210,1,0.0153
211,0,0.0028
211,1,0.0076
212,0,0.0031
212,1,0.0094
213,0,0.0042
213,1,0.0101
214,0,0
214,1,0
220,0,0.0073
220,1,0.0252
440,1,0
221,0,0.0031
221,1,0.0094
222,0,0.0036
222,1,0.0125
114,1,0
141,0,0
140,0,0
141,1,0
140,1,0
134,0,0
223,0,0.005
223,1,0.0167
442,0,0
442,1,0
113,1,0.0072
234,0,0
234,1,0
233,0,0.0084
233,1,1
231,0,0.0042
231,1,0.0101
230,0,0.0125
230,1,1
224,0,0
224,1,0
244,0,0
244,1,0
134,1,0
243,0,0
242,0,0
243,1,0
242,1,0
241,0,0
240,0,0
241,1,0
240,1,0
232,0,0.005
232,1,0.0167
